sigma,masses,generation_time,integration_time,conservation_time,galois_time,painleve_time,quaternionic_time,isomorphism_time,max_energy_error,max_angular_momentum_error,max_linear_momentum_error,galois_group,has_painleve_property,quaternionic_monodromy,isomorphism_verified
0.3333333333333333,[1. 1. 1.],0.0014350414276123047,0.07690286636352539,0.017429113388061523,0.13161015510559082,0.018394947052001953,9.5367431640625e-07,0.059713125228881836,8.082945795360752e-07,2.7755575615628914e-17,5.551115123125783e-17,Dihedral Galois group with abelian identity component,False,Z_2,True
0.2962962962962963,[1.         1.         1.07407407],0.005248069763183594,0.07395601272583008,0.009664773941040039,0.10820412635803223,0.018212080001831055,9.5367431640625e-07,0.060175180435180664,5.38233931864606e-07,0.0,4.440892098500626e-16,"SL(2,C) Galois group with non-abelian identity component",False,Infinite,True
0.2222222222222222,[1.         1.         1.22222222],0.005203962326049805,0.07440376281738281,0.008986234664916992,0.11532282829284668,0.018063068389892578,2.1457672119140625e-06,0.05981278419494629,1.040673411475129e-05,0.0,3.497202527569243e-15,"SL(2,C) Galois group with non-abelian identity component",False,Infinite,True
0.4,[1.         1.         0.83333333],0.005266904830932617,0.07417607307434082,0.009266138076782227,0.11827206611633301,0.01818084716796875,2.1457672119140625e-06,0.060003042221069336,3.0988901705589335e-06,0.0,1.5543122344752192e-15,"SL(2,C) Galois group with non-abelian identity component",False,Infinite,False
0.25,[1.         1.         1.16666667],0.00518035888671875,0.07388901710510254,0.009153604507446289,0.11166000366210938,0.019034147262573242,9.5367431640625e-07,0.060420989990234375,7.966192236476011e-07,0.0,1.8318679906315083e-15,"SL(2,C) Galois group with non-abelian identity component",False,Infinite,False
