sigma,kam_measure
0.3333333333333333,0.8666666666666667
0.2962962962962963,0.5333333333333333
0.2222222222222222,0.7333333333333333
0.2,0.7
0.2210526315789474,0.7333333333333333
0.24210526315789474,0.6666666666666666
0.26315789473684215,0.6666666666666666
0.28421052631578947,0.6666666666666666
0.30526315789473685,0.7
0.3263157894736842,0.8
0.34736842105263155,0.9333333333333333
0.368421052631579,0.8
0.3894736842105263,0.8
0.4105263157894737,0.9
0.43157894736842106,0.7
0.45263157894736844,0.8333333333333334
0.4736842105263158,0.8333333333333334
0.49473684210526314,0.7333333333333333
0.5157894736842106,0.8666666666666667
0.5368421052631579,0.8
0.5578947368421052,0.9
0.5789473684210527,0.8
0.6,0.7666666666666667
